x,y,label
25.206642095921914,9.68429380343551,1
28.47163415474273,12.314793436240253,1
27.81181970128864,12.342327952813966,1
33.709347441480695,18.998067520124668,1
26.102420808562925,11.398683754422256,1
14.874633499633411,8.890442306417421,2
31.671601564098005,20.35881014964756,1
21.16197207450932,16.91676338487798,1
26.853710795166304,18.87656916265841,1
22.780126875083106,10.90001345748793,1
25.153416131601407,17.526743664951542,1
31.3231927627028,16.142386286221626,1
22.577318048652824,17.388326976848518,1
24.05628459084228,10.001035143496884,1
34.171470757863524,17.810538597261996,1
23.46411390601207,10.40280215760206,1
24.553397482678925,17.975269056317334,1
30.054853068625462,18.876004723489824,1
12.905382158670736,13.919562523211424,2
21.68641398873049,12.340223712450651,1
28.316144008326603,22.89884735991845,1
20.925819332634195,11.44473879726682,1
25.312586724866343,10.89385328538216,1
27.045990664364933,17.20999792647029,1
37.45577895129353,16.955197686718122,1
12.78331116659072,10.936992825595931,2
32.603290984263886,13.752414953765932,1
25.916196151991173,13.85419444686056,1
21.92046661796348,11.434299458789358,1
21.143823423338944,16.972546926737472,1
21.08408234264472,13.33155079914168,1
25.815828083058506,13.34487772793877,1
26.16221196545284,19.83251301806564,1
17.3911173716523,18.60704546883361,2
16.23994576901803,8.80169026748935,2
23.124713700621907,8.383272667076827,2
32.523953263908545,20.27444599248276,1
14.812787665839206,16.350252471718218,2
33.11858121981245,19.46477629501842,1
27.038281565027145,20.319020590069783,1
21.089940964226543,12.793944006811648,1
37.083044435904434,14.982136841407335,1
25.45023107810299,9.485341526286252,1
30.72405041014912,20.390253934219047,1
30.346114011327018,16.944383432585468,1
37.2151858668683,14.009022274913937,1
20.45983218928249,16.325403478258607,1
19.421846927628707,13.061928906347989,1
26.15961268043464,10.873795458436817,1
31.370755563514763,14.43395432482395,1
33.53438823318305,13.47391697680473,1
19.738765838584143,14.766485498624006,1
28.775050923452948,12.703164146993776,1
17.756588201285815,12.21492895401375,2
25.613028193813022,14.621244237637349,1
32.69588941366735,18.61028583951648,1
14.127513375931944,8.370248710433899,2
25.833024790097014,11.554222089347386,1
12.64274893812794,15.522038694748984,2
25.020974791754085,16.36422698214593,1
14.12704318312218,11.34074848303206,2
38.88212848388445,14.782466883880131,1
23.61404821644005,16.615082475066618,1
18.809523438481108,11.0202154583184,2
27.808503402487677,19.17345385169409,1
32.32036876140445,13.750904382789184,1
35.81471652434192,18.327828683640863,1
30.053839950319635,16.683466244616394,1
15.271584634151614,9.643874338434134,2
31.41681826493269,17.471116894750455,1
33.97770595536444,16.43903390381784,1
24.12257351905588,17.920479029335592,1
27.189353519587343,20.849103993644277,1
23.57681937891224,10.61783029725911,1
28.126142180229007,21.003886873678585,1
31.33218416558792,21.8278002991423,1
18.623347391283662,13.728798977683232,1
25.21903521493834,13.929952343854584,1
38.04816588804044,15.944024878722388,1
23.16955044023231,17.982916260828652,1
26.365544782119667,12.08356602139485,1
